iter	Passed	Remaining
235	415	1344
236	416	1340
237	417	1336
238	418	1332
239	419	1329
240	420	1325
241	422	1321
242	423	1318
243	424	1315
244	425	1311
245	426	1308
246	428	1305
247	429	1301
248	430	1298
249	431	1294
250	432	1290
251	433	1286
252	434	1283
253	435	1279
254	436	1276
255	438	1273
256	439	1270
257	440	1266
258	441	1263
259	442	1260
260	443	1257
261	445	1253
262	446	1250
263	447	1246
264	448	1243
265	449	1240
266	450	1236
267	451	1232
268	452	1230
269	453	1227
270	455	1224
271	456	1221
272	457	1218
273	458	1215
274	459	1212
275	461	1209
276	462	1206
277	463	1203
278	464	1199
279	465	1196
280	466	1193
281	467	1190
282	468	1187
283	470	1185
284	471	1182
285	472	1179
286	473	1176
287	474	1174
288	476	1171
289	477	1169
290	478	1166
291	479	1163
292	480	1160
293	482	1158
294	483	1155
295	484	1152
296	485	1149
297	486	1147
298	488	1144
299	489	1141
300	490	1138
301	491	1135
302	492	1132
303	493	1130
304	494	1127
305	495	1124
306	496	1121
307	498	1119
308	499	1116
309	500	1113
310	501	1111
311	502	1108
312	503	1106
313	504	1103
314	506	1100
315	507	1097
316	508	1094
317	509	1092
318	510	1089
319	511	1087
320	512	1084
321	514	1082
322	515	1080
323	516	1077
324	517	1075
325	518	1072
326	520	1070
327	521	1067
328	522	1064
329	523	1062
330	524	1060
331	525	1057
332	526	1055
333	528	1052
334	529	1050
335	530	1047
336	531	1045
337	532	1043
338	533	1041
339	535	1038
340	536	1036
341	537	1033
342	538	1031
343	539	1028
344	540	1026
345	541	1023
346	542	1021
347	544	1019
348	545	1017
349	546	1014
350	547	1012
351	548	1009
352	549	1007
353	550	1004
354	551	1002
355	552	1000
356	553	997
357	554	995
358	555	992
359	557	990
360	558	988
361	559	985
362	560	983
363	561	980
364	562	978
365	563	976
366	564	974
367	566	972
368	567	969
369	568	967
370	569	965
371	570	963
372	571	961
373	572	958
374	574	956
375	575	954
376	576	952
377	577	950
378	578	947
379	579	945
380	580	943
381	581	941
382	583	939
383	584	937
384	585	934
385	586	932
386	587	931
387	588	928
388	590	926
389	591	924
390	592	922
391	593	920
392	594	918
393	595	916
394	596	914
395	597	912
396	599	909
397	600	907
398	601	905
399	602	903
400	603	902
401	605	900
402	606	898
403	607	896
404	608	894
405	609	892
406	611	890
407	612	888
408	613	886
409	614	884
410	615	882
411	616	879
412	617	878
413	618	875
414	619	873
415	621	871
416	622	869
417	623	867
418	624	865
419	625	864
420	627	862
421	628	860
422	629	858
423	630	856
424	631	854
425	632	852
426	633	850
427	635	848
428	636	846
429	637	845
430	638	843
431	640	841
432	641	839
433	642	837
434	643	835
435	644	833
436	645	831
437	646	829
438	647	828
439	648	825
440	650	824
441	651	822
442	652	820
443	653	818
444	654	816
445	655	814
446	656	812
447	658	810
448	659	808
449	660	806
450	661	805
451	662	803
452	663	801
453	665	799
454	666	797
455	667	796
456	668	794
457	669	792
458	670	790
459	671	788
460	672	786
461	674	784
462	675	782
463	676	781
464	677	779
465	678	777
466	679	775
467	680	774
468	682	772
469	683	770
470	684	769
471	685	767
